Division,MatchDate,MatchTime,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,Over25,Under25,MaxOver25,MaxUnder25,HandiSize,HandiHome,HandiAway,C_LTH,C_LTA,C_VHD,C_VAD,C_HTB,C_PHB
SP1,2000-09-09,,Barcelona,Malaga,1888.11,1737.16,0.0,0.0,0.0,0.0,2.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,,1.28,3.9,7.9,,,,,,,,,,,,,,,,
SP1,2000-09-09,,La Coruna,Ath Bilbao,1845.68,1779.4,0.0,0.0,0.0,0.0,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1.51,3.2,6.2,,,,,,,,,,,,,,,,
SP1,2000-09-09,,Real Madrid,Valencia,1884.76,1907.14,0.0,0.0,0.0,0.0,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,,1.65,3.2,4.1,,,,,,,,,,,,,,,,
SP1,2000-09-09,,Sociedad,Santander,1778.08,1755.62,0.0,0.0,0.0,0.0,2.0,2.0,D,0.0,0.0,D,,,,,,,,,,,,,1.85,3.15,3.45,,,,,,,,,,,,,,,,
SP1,2000-09-09,,Zaragoza,Espanol,1848.53,1786.64,0.0,0.0,0.0,0.0,1.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,1.7,3.1,4.3,,,,,,,,,,,,,,,,
SP1,2000-09-10,,Las Palmas,Alaves,1653.62,1773.97,0.0,0.0,0.0,0.0,0.0,3.0,A,0.0,1.0,A,,,,,,,,,,,,,2.35,3.15,2.6,,,,,,,,,,,,,,,,
SP1,2000-09-10,,Mallorca,Valladolid,1801.09,1766.42,0.0,0.0,0.0,0.0,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,,1.8,3.1,3.9,,,,,,,,,,,,,,,,
SP1,2000-09-10,,Numancia,Oviedo,1690.87,1724.19,0.0,0.0,0.0,0.0,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,2.0,3.1,3.3,,,,,,,,,,,,,,,,
SP1,2000-09-10,,Osasuna,Celta,1616.65,1811.07,0.0,0.0,0.0,0.0,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,2.65,2.9,2.35,,,,,,,,,,,,,,,,
SP1,2000-09-10,,Villarreal,Vallecano,1652.65,1715.93,0.0,0.0,0.0,0.0,1.0,5.0,A,0.0,3.0,A,,,,,,,,,,,,,2.25,3.1,2.75,,,,,,,,,,,,,,,,
SP1,2000-09-16,,Ath Bilbao,Barcelona,1774.92,1898.94,0.0,0.0,9.0,15.0,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,3.2,3.0,2.05,,,,,,,,,,,,,,,,
SP1,2000-09-16,,Malaga,Real Madrid,1736.13,1889.85,0.0,0.0,9.0,15.0,3.0,3.0,D,1.0,1.0,D,,,,,,,,,,,,,3.2,3.25,1.95,,,,,,,,,,,,,,,,
SP1,2000-09-16,,Santander,La Coruna,1760.33,1853.45,3.0,5.0,9.0,15.0,0.0,3.0,A,0.0,1.0,A,,,,,,,,,,,,,2.7,3.1,2.2,,,,,,,,,,,,,,,,
SP1,2000-09-16,,Valencia,Mallorca,1905.06,1799.76,0.0,0.0,3.0,5.0,4.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.5,3.4,5.55,,,,,,,,,,,,,,,,
SP1,2000-09-16,,Valladolid,Numancia,1771.41,1699.55,3.0,5.0,9.0,15.0,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.66,3.2,4.7,,,,,,,,,,,,,,,,
SP1,2000-09-17,,Alaves,Villarreal,1787.98,1637.89,9.0,15.0,0.0,0.0,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,1.47,3.6,5.7,,,,,,,,,,,,,,,,
SP1,2000-09-17,,Celta,Sociedad,1820.23,1777.02,9.0,15.0,3.0,5.0,4.0,1.0,H,3.0,0.0,H,,,,,,,,,,,,,1.6,3.3,4.9,,,,,,,,,,,,,,,,
SP1,2000-09-17,,Espanol,Osasuna,1800.21,1611.14,9.0,15.0,0.0,0.0,1.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,1.51,3.5,5.5,,,,,,,,,,,,,,,,
SP1,2000-09-17,,Oviedo,Las Palmas,1719.15,1643.26,0.0,0.0,0.0,0.0,2.0,2.0,D,0.0,1.0,A,,,,,,,,,,,,,1.7,3.4,3.95,,,,,,,,,,,,,,,,
SP1,2000-09-17,,Vallecano,Zaragoza,1734.34,1838.6,9.0,15.0,0.0,0.0,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,2.2,3.15,2.85,,,,,,,,,,,,,,,,
SP1,2000-09-23,,Barcelona,Santander,1898.94,1760.33,5.0,8.0,2.0,3.0,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,,1.25,4.55,8.0,,,,,,,,,,,,,,,,
SP1,2000-09-23,,Las Palmas,Valladolid,1643.26,1771.41,2.0,3.0,6.0,10.0,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,2.3,3.15,2.65,,,,,,,,,,,,,,,,
SP1,2000-09-23,,Real Madrid,Ath Bilbao,1889.85,1774.92,6.0,10.0,5.0,8.0,4.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,,1.4,3.7,6.3,,,,,,,,,,,,,,,,
SP1,2000-09-23,,Sociedad,La Coruna,1777.02,1853.45,2.0,3.0,9.0,15.0,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,,2.3,3.15,2.6,,,,,,,,,,,,,,,,
SP1,2000-09-23,,Zaragoza,Alaves,1838.6,1787.98,2.0,3.0,5.0,8.0,2.0,2.0,D,1.0,2.0,A,,,,,,,,,,,,,1.7,3.4,3.9,,,,,,,,,,,,,,,,
SP1,2000-09-24,,Celta,Espanol,1820.23,1800.21,9.0,15.0,5.0,8.0,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.55,3.55,4.8,,,,,,,,,,,,,,,,
SP1,2000-09-24,,Mallorca,Malaga,1799.76,1736.13,2.0,3.0,2.0,3.0,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,1.8,3.45,3.55,,,,,,,,,,,,,,,,
